Column1
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
"Id 1  SepalLengthCm ,5.1  SepalWidthCm 3.5 petal length1.4 petal width 0.2 SpecieIris-setosa"
"Id 2 SepalLengthCm,4.9 Sepal Width Cm 3 1.4 petallength 0.2 SpecieIris-setosa"
